ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the link with professional practice / professional careers?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring?;Would you like to give your institution any other feedback on examination and assessment?;Would you like to give your institution any other feedback on engagement and contact?;Would you like to give your institution any other feedback on studying under special circumstances?
11;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Could we get more real-world case studies? De theorie staat soms los van de praktijk.;More structured paths to industry-standard certifications would be greatly beneficial for graduates.;Deze hoge mentor-overloop is erg slordig en ondermijnt het leerproces volledig.;Perhaps moving to bi-weekly support sessions would provide much-needed continuity and guidance.;Het helpt enorm als we binnen twee weken na het examen de resultaten kunnen zien.;I really appreciate the resources, but the human connection sometimes feels missing and automated.;Het is prima, maar de links in de syllabus leiden soms naar verouderde of niet-bestaande pagina's.
12;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;It feels like the teaching load is too light, we need more time in the classroom.;Ik pleit voor meer simulaties die echte bedrijfsprocessen nabootsen en data gebruiken.;Ik voel me erg gesteund door de docenten die altijd hulp aanbieden zonder dat we vragen.;Het was fijn dat er een vertrouwenspersoon was, dat gaf me veel rust.;"De communicatie over aanpassingen is inconsistent; we hebben meer duidelijkheid nodig.";I really wish we had more organized social events for different student groups.;Het personeel was erg attent en gaf mij de ruimte die ik nodig had voor mijn gezondheid.
13;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;We really need more efficient grading, [NAME]'s assessments are taking too long to grade.;Het zou nuttig zijn als de gastcolleges meer gericht zijn op specifieke carrières.;Het is echt frustrerend dat ik weken moet wachten op een reactie op mijn dringende e-mails.;Het is een goede start, maar het gebrek aan culturele bewustzijn zorgt soms voor uitsluiting.;Het gevoel is dat sommige beoordelingen te subjectief waren zonder duidelijke richtlijnen.;De materiële hulp was goed, maar het gebrek aan menselijk contact maakte het minder effectief.;I appreciate the understanding, but the load of academic work occasionally clashes with my performance demands.
14;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could the teachers provide more varied teaching methods besides just slide presentations?;Het zou nuttig zijn om meer workshops te houden over professioneel presenteren en publieke spraakvaardigheden.;Ik denk dat meer aandacht voor de interdisciplinaire verbanden zou een grote verbetering zijn.;Ik zou meer flexibiliteit willen zien in de beschikbaarheid van de begeleiders, vooral na school.;I suggest checking all required software compatibility before the actual exam day.;The lack of consistent updates on Zoom links is a major headache for attendance.;Please ensure that all restroom facilities meet current universal design standards across the campus.
15;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;It would be great if there was a dedicated office hour with clearer guidelines.;Het zou helpen met extra workshops over staartvaardigheden en netwerken.;De technische ondersteuning moet verbeteren, online lessen vallen te vaak uit elkaar.;Sometimes emotional support feels like an afterthought when grades are the main focus.;The latency issues really impacted my ability to answer quickly and accurately.;The platform needs better real-time alerts for any necessary changes to the coursework.;"Mijn docent nam de tijd om het materiaal op een andere manier uit te leggen; dat was fijn."
16;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;De frequentie en duur van de lessen zijn echt te minimaal voor een zo rijk programma.;Dutch: Het zou helpen om de software die we leren te matchen met de tools in de industrie.;It's frustrating how long it takes to get a simple clarification on the module requirements.;More workshops on mindfulness would really help students manage anxiety effectively.;Het zou veel waard zijn als de feedback gepersonaliseerd was naar mijn individuele leerachterstanden.;We zouden meer praktische sessies moeten hebben om de stof echt te kunnen toepassen.;Could we have more options to adjust the intensity of the coursework? It feels too demanding.
17;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;I hope [NAME] can improve the grading timeline, we are waiting far too long for results.;Het zou fijn zijn als de technologie in de klas dichter bij de werkvloer zou komen, bijvoorbeeld met Jira.;Meer aandacht voor het behoud van het docententeam is cruciaal voor succes.;I really valued the personalized academic roadmap created for my program.;Het is vaak onduidelijk of we theoretisch of praktisch moeten antwoorden bij die specifieke vraag.;A centralized notification system for all course updates would be a massive improvement for students.;"De ondersteuning die ik kreeg was uitmuntend; ze keken echt om me heen als student."
18;1;2026/27;Tilburg;Artificial Intelligence;Part-time;Second-year;Ik voelde dat er simpelweg te weinig uren waren om de stof grondig te kunnen behandelen.;Het zou helpen om meer alumni-panels te organiseren voor directe carrièreraden.;De docenten lijken meer bezig te zijn met de administratie dan met daadwerkelijke begeleiding van de studenten.;The guidance on selecting elective courses was incredibly helpful for my overall degree plan.;It would be beneficial to see clearer guidelines on the expected depth of critical analysis for higher grades.;Het voelt soms alsof ik alleen maar een dossiernummer ben, zonder echt menselijk contact.;Betere communicatie over gemiste lessen zou mijn academische voortgang echt helpen.
19;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;De docenten zijn experts en hun passie voor het vak straalt echt door in de lessen.;Het zou super zijn als er meer georganiseerde uitstapjes naar diverse sectoren waren.;I think the proactive mentorship approach elevates the entire educational quality here significantly.;More specialized workshops on interview techniques, especially behavioral questions, would be excellent.;Ik denk dat een betere verdeling van de examens en het coursework meer zou helpen.;Het zou fantastisch zijn als er een mentorprogramma was, om meer directe begeleiding te krijgen.;"Ik waardeerde de open communicatie; niemand voelde zich gestoord met mijn situatie."
20;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I suggest improving the reliability of the technical tools provided for coursework.;Our assignments feel disconnected because the technology we use here isn't market-relevant.;They seem disconnected from the practical realities students face outside the lecture hall.;De peer support groepen waren super waardevol, het voelde echt goed om met medestudenten te kunnen praten.;Zou een groter aandeel van het eindcijfer kunnen komen uit projecten en presentaties?;Ik zou meer contact willen met oudere studenten die tips kunnen geven en een gevoel van verbondenheid creëren.;The lack of alt-text on diagrams makes some modules nearly impossible to grasp fully.
21;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik heb moeite met de inconsistentie in de feedback, soms is het vaag en onduidelijk.;Could we have more diverse speakers covering different sectors of the industry?;I wish there was a clearer pathway to mentoring specifically designed for distance learners.;Het zou helpen als de mentoruren consistent en duidelijk gecommuniceerd werden voor iedereen.;Some assessments feel like they are based on material that was supplementary, not core.;It would be helpful to know if office hours are properly advertised and followed.;I suggest reviewing the accessibility of the lecture halls for diverse needs.
22;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;We need more consistent updates, because the communication from different sources is mixed.;Misschien meer gastcolleges van mensen die al in de industrie werken over carrièrepaden.;Zou het niet kunnen dat er een alternatief voor dit falende boekingssysteem komt?;Ik waardeer de openheid, maar ik hoop op meer erkenning en validatie van mijn culturele ervaringen.;Could we please see more resources for managing high-stakes assessment anxiety?;Ik zou graag meer interactie willen hebben over de praktijktoepassing van de theorie.;Providing clearer timelines for financial aid decisions would greatly reduce student anxiety.
23;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is jammer dat de colleges zo kort zijn, we hebben meer diepgang nodig.;"We moeten de bereikbaarheid van de carrièrecentrale verbeteren; het is momenteel te lastig.";We really need more dedicated virtual office hours, the online students feel completely forgotten.;De sfeer van samenwerking tussen studenten is fantastisch en ik wil dat meer zijn.;Kunt u de evaluatiemethoden iets diversifiëren? Een mix van praktijk en theorie is ideaal.;I think personalized outreach, maybe workshops, would boost engagement far more than another online questionnaire.;Het is lastig om op tijd te komen als de hellingen soms erg steil zijn en een rolstoel nodig hebben.
24;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Could the department improve communication regarding teacher availability outside class?;Could you organize more industry talks to guide our internship search effectively?;Het is echt vervelend dat er altijd een foutmelding verschijnt bij het boeken.;Ik wil meer weten over het vinden van gespecialiseerde vacatures en het sollicitatieproces daartoe.;The grading process was mostly fine, but some aspects felt more like educated guessing than objective assessment.;I felt completely overlooked during my recent one-on-one tutoring session.;My professors handled my specific needs with professionalism and genuine care.
25;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Why is [NAME] always taking so long with grading? It impacts our academic planning significantly.;Ik vind het goed, maar het zou beter zijn als de experts dieper ingingen op case studies.;De begeleiding voelt meer als een massa-uitzending dan individueel advies, wat frustrerend is.;Kunt u meer uitleggen wat het verschil is tussen 'goed' en 'uitmuntend' in dit vak?;"De mentale belasting van deze examens is te hoog; flexibelere deadlines zijn nodig.";I wish the teaching staff could be more readily available for quick questions outside of class hours.;The counselors should offer more flexible scheduling options for their meetings.
26;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;We zouden baat kunnen hebben bij extra collegezalen voor betere begrip.;Could the coursework incorporate real-world client scenarios instead of hypothetical ones?;The assessment methods don't seem to align with the skills we actually need in the job market.;I appreciate the thoughtful direction on maximizing my academic potential throughout the program.;Offering alternative assessment options, like pitches, would be highly beneficial for us.;Could the institution provide clearer hours for staff availability so we know when to reach out?;Het zou fijn zijn met een meer gestructureerd plan voor langdurige begeleiding naast de initiële hulp.
27;1;2026/27;Den Bosh;Cyber Security;Part-time;Third-year;Het lijkt alsof de docenten overbelast zijn en niet genoeg tijd voor studenten hebben.;Het zou nuttig zijn om projecten te koppelen aan echte lokale bedrijven in de regio.;Maybe the institution could organize formal workshops for the student mentors themselves.;We need better emotional literacy training integrated into the student experience overall.;Can the institution please communicate better about the grade release schedule and expected delays?;De reactiesnelheid op platforms zoals Teams zou echt verbeterd kunnen worden, dan voelt het minder gefragmenteerd.;Allowing us to tailor the study pace would help us absorb complex material more thoroughly.
28;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;The faculty provides insightful perspectives that extend beyond the textbook material.;More assignments utilizing anonymized data from established companies would be extremely valuable.;De docenten zorgen ervoor dat we nooit het gevoel hebben dat we een vraag moeten ophopen.;Could we perhaps organize more sessions focusing on industry-specific skills and job market trends?;Kunt u specifieker zijn over de zwakke punten in mijn redenering? Dat zou enorm helpen.;Het zou fijn zijn om een keer een seminar te hebben waar we echt uitgebreid kunnen brainstormen.;Het is duidelijk dat het personeel de studenten echt wil helpen, wat heel waardevol is.
29;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Ze communiceren niet goed genoeg over de verwachtingen voor het examen, we weten het niet zeker.;Het zou geweldig zijn om een mentor te hebben van een professional die ons door case-studies leidt.;It makes us doubtful when the personal advice contradicts what the department handbook says.;Ik vind de kans om informeel met medestudenten te netwerken enorm waardevol voor de algemene ervaring.;The connection between the exam question and the required material was sometimes unclear.;Having a dedicated FAQ page for logistical changes would save so much confusion and wasted time.;De docenten waren heel begripvol en boden veel flexibiliteit met de deadlines.
30;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het zou fijn zijn als de colleges meer case studies bevatten in plaats van alleen theorie.;We zouden meer tijd moeten besteden aan het opzetten van een realistisch portfolio dat we aan potentiële werkgevers kunnen tonen.;They need clearer guidelines on how to handle academic doubts from students.;Kunnen de begeleiders laten zien hoe ik mijn vaardigheden echt kan verbeteren?;Ik denk dat sommige examens te veel leunen op mondelinge vaardigheden, wat ongelijk kan zijn.;De responstijd op vragen van studenten, zeker buiten collegeuren, is soms te langzaam.;Could the specialized labs provide more flexible and adaptable workspaces for everyone?
31;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Het zou nuttig zijn als we de theorieën meer kunnen koppelen aan actuele bedrijfsvoorbeelden.;Graag meer hulp bij het schrijven van cv's en het voorbereiden op die moeilijke sollicitatiegesprekken voor stages.;De docenten zorgen ervoor dat wij ons niet overweldigd voelen, altijd met een oog voor ons welzijn.;Ik waardeer de middelen, maar ik zou meer praktische tools voor veerkracht willen.;De terminologie in sommige vraagstukken was onduidelijk en kon leiden tot verkeerde interpretaties.;Ik hoop op meer bijeenkomsten die rekening houden met verschillende culturele achtergronden.;Het is cruciaal dat de technische ruimtes ook aangepaste, toegankelijke werkplekken bieden voor iedereen.
32;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Kunt u het beleid over de beoordeling van [NAME] aanpassen? Het duurt oneindig lang.;"Graag meer excursies naar diverse sectoren; het zien van de werkvloer is onbetaalbaar.";Kunnen we alsjeblieft één vaste mentor krijgen? De turnover is onacceptabel.;I really need a system to better track mentor availability and book timely slots.;De beoordelingscriteria waren duidelijk, maar de uiteindelijke score voelde soms willekeurig aan.;When staff are quick to respond, I feel much more supported in my academic journey.;De toiletten op de begane grond zouden meer universeel ontworpen moeten zijn.
33;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;The turnaround time for feedback is simply too slow for us to make timely improvements.;Could we have smaller, more focused meetups instead of large general career expos?;Could they please stabilize the teaching staff? The high turnover is seriously disrupting my whole experience.;Het contact met de begeleiders is oké, maar ze moeten beter afstemmen op de unieke studentbehoeften.;The delayed feedback significantly impacts my ability to understand my weaknesses and improve.;Kunnen we een vaste communicatiemethode hebben voor wijzigingen, dan weet ik wat ik kan verwachten?;Could there be better designated study areas that are fully accessible to wheelchair users?
34;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Overall, the teaching style is engaging, but slowing down on the core concepts would really help.;It would really help to incorporate live data from actual businesses into our assignments.;Het voelt alsof we alleen maar geluisterd worden naar, zonder daadwerkelijke interactie of feedback.;De peer support sessies waren heel nuttig en hielpen mij om meer enthousiast te raken over mijn studie.;Ik hoop echt op een betere en snellere manier om beoordeling en feedback te ontvangen.;Het is nog niet duidelijk wie ik raadpleeg moet voor mijn financiële vragen versus academisch advies.;Ik merk soms dat de online leesmateriaal te zwaar is voor een schermlezer, wat frustrerend is.
35;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Er is meer duidelijkheid nodig over de gewichten van de verschillende gedeelten van het examen.;Het zou fijn zijn als er een mentorprogramma was met ervaren professionals die ons begeleiden.;Honestly, the difficulty in securing a slot is a major time sink for students like me.;I found the tailored workshops on professional skills genuinely impactful.;Some topics tested in the final exam were barely touched upon during class time.;I think a simple contact directory distinguishing roles would make things much smoother for students.;Ik denk dat betere communicatie tussen de counselors en de docenten nodig is voor een completer beeld.
36;2;2026/27;Venlo;Software Engineering;Part-time;Fourth-year;We need more clarity on how much emphasis should be placed on the practical versus theory.;Het zou helpen om meer simulaties te doen met de tools die echt in het beroepsleven worden ingezet.;Wat helpt het studieverloop als de begeleiders constant veranderen?;Het is moeilijk om te voelen dat de faculteit echt reageert op de zorgen van de studentenpopulatie.;Overall, the assessment felt fair, but I suggest standardizing the weighting across modules.;A clearer protocol for urgent student contacts would greatly improve the overall student experience.;"Het is lastig om te navigeren door de financiële hulp; meer overzicht wordt gewaardeerd."
37;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Het is heel moeilijk om afspraken te krijgen, de docenten zijn bijna nooit bereikbaar.;Het zou nuttig zijn om meer praktische oefeningen met commerciële, professionele tools te krijgen.;It would be fantastic to have dedicated time for personalized academic support, not just group lectures.;I really appreciate the one-on-one sessions with the alumni network, it was very insightful.;Ik zou graag meer nadruk zien op het afstemmen van de toetsing op de werkelijke leerdoelen.;Graag meer gekoppelde activiteiten met andere studierichtingen om de netwerkbanden te versterken.;Kunnen jullie meer ondersteuning bieden bij het regelen van kinderopvang tijdens campusdagen?
38;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;I really need timely grades, [NAME], because this slow grading is causing me unnecessary stress.;Het zou super zijn als we meer werken met echte, complexe bedrijfsprojecten in de cursus.;Het is moeilijk om echt persoonlijke vragen te stellen bij een zo groot publiek.;Ik zou graag een systeem willen waar we kunnen zien wanneer een mentor beschikbaar is.;Ik zou meer gewicht moeten leggen op continue beoordeling dan op grote tentamens.;Graag meer internationale student-specifieke mentorprogramma's om de integratie te vergroten.;Their dedication is clear, but I feel the emotional support sometimes outweighs the actionable advice.
39;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;De verwachtingen rondom het aantal te leveren projecten zijn te hoog voor ons.;Het zou super zijn als de guest lectures frequenter georganiseerd zouden worden.;I wish the instructors offered more one-on-one sessions instead of just large lectures.;Het advies over cv-optimalisatie hielp me enorm bij mijn sollicitaties.;The weighting between different parts of the assessment needs clearer explanation to prevent confusion.;Het zou mooi zijn als de faculteit meer nadruk legt op het gevoel van collectieve betrokkenheid.;It would really help if the scholarship options were more transparent for students.
40;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;The pace of feedback is really slow, which significantly delays my ability to progress.;Het zou fijn zijn als we meer projecten konden doen met industry-standard software, net als in het veld.;Het zou beter zijn als er meer ruimte was voor kritische vragen die niet meteen worden afgerond.;De psychologische hulp was echt waardevol, ik voelde me erg gehoord en gesteund.;Ik vind dat de focus te veel ligt op één examen en dat is overweldigend.;Kleine workshops of activiteiten naast de studie zou de sociale cohesie enorm verbeteren.;The learning management system feels clunky and doesn't always work with assistive technologies.
41;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;[NAME] is erg deskundig, hoewel de theorie soms wat te abstract voelt voor mij.;More mentorship from recent graduates who have successfully completed their careers.;Ik waardeer de hulp enorm, maar soms voelt het alsof de mentoren zelf ook worstelen met de stof.;Het feedbackgesprek met de alumni was geweldig en gaf me veel inspiratie voor mijn loopbaan.;De examensdruk voelt echt overweldigend en ik zou meer mentale steun willen.;Soms voelt de ondersteuning te algemeen en niet direct toepasbaar op mijn vakgebied.;Meer contactmomenten met docenten, zodat het begrip persoonlijker wordt.
42;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Kunnen we meer duidelijkheid krijgen over hoe het gewicht van de verschillende onderdelen wordt bepaald?;Meer cursussen over het navigeren door de complexe jobmarkt na de afstudering zouden zeer waardevol zijn.;De communicatie van de begeleiders is te traag, het belemmert ons studieproces enorm.;Een kleine erkenning van de inspanningen is al genoeg om mij gemotiveerd te houden.;Having to troubleshoot technical errors while taking a test is genuinely stressful and unfair.;I think some extra office hours for personalized questions would be really helpful.;They need more workshops on self-advocacy skills, not just academic adjustments.
43;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Smith’s grading turnaround time is unacceptable and greatly undermines our ability to learn effectively.;Graag meer gekoppelde projecten waarbij we echt mee kunnen denken met professionele teams.;The current setup lacks the intimacy needed for true academic mentorship.;The resources available for anxiety are helpful, although I wish they were more widely publicized.;"Het is moeilijk te navigeren welke accommodatie precies van toepassing is; meer uitleg is nodig.";De technische infrastructuur en de wifi op afstand moet echt flink verbeterd worden, het is frustrerend.;Could the library consider elevating the entrance area for easier access for wheelchairs?
44;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Communication from some lecturers is often unclear, making it hard to follow the course material.;Het zou nuttig zijn met meer sectie-specifieke carrièregidsen voor bachelorstudenten.;I feel like the instructors just read slides and didn't engage us with practical examples.;Ik voelde me soms genegeerd toen ik vragen stelde aan mijn mentor, een sneller antwoord zou fijn zijn.;"Het was moeilijk om de exacte scope van vraag drie te bepalen; de instructies waren dubbelzinnig.";Meer uitdagingen die directe, korte online interactie vereisen zouden de leerervaring intensiever maken.;Het zou helpen als de afdelingen meer coördineren over de verschillende verplichte aanpassingen.
45;1;2026/27;Eindhoven;HBO-ICT;Part-time;First-year;We struggle to get timely help because the teachers are rarely present outside of lectures.;Could the coursework integrate more with real-world professional tools, making the transition smoother?;Het is moeilijk om gemotiveerd te blijven als men zo lang niets hoort.;Het zou helpen als we vaker, misschien wekelijks, de voortgang van de studenten konden bespreken.;More specific examples within the prompt would greatly help with interpreting the scope of the required answer.;Kunt u specifieker zijn over wie verantwoordelijk is voor het inschrijven voor electieve vakken?;The ramp leading to the science block gets very slippery when it rains, which is a safety issue.
46;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;A little more dedicated time for group projects would significantly improve our understanding.;Could we organize more employer panel discussions that cover varied career paths within our field?;This slow pace of mentor responses seriously hampers our ability to progress effectively.;Having a centralized booking system for all available mentors would be super helpful.;De toetsing voelt momenteel te ver verwijderd van de dagelijkse cursusdiscussies.;"Wat een verbetering met de updates; ik weet altijd wat de nieuwe details zijn.";Ik voelde me enorm gesteund door het personeel wat betreft mijn tijdelijke uitvalperiodes.
47;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;I wish there was a more reliable system for accessing the professors outside of class time.;I hope the institution considers offering certifications from leading industry bodies.;Meer contact met ervaren mentoren die in de praktijk werken, dat zou geweldig zijn.;Ik hoop dat er meer informele bijeenkomsten zijn waar we casual kunnen netwerken met elkaar.;Ik denk dat korte, frequente beoordelingen beter zijn dan één grote eindtoets.;"Mijn mentor nam de tijd voor mij; hij gaf mij echt het gevoel dat ik persoonlijk werd begeleid.";Could the institution consider extending hours for drop-in mental wellness services?
48;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;It feels like the faculty truly understands the cutting edge of this field.;Ik zou graag zien dat we onze vaardigheden testen met casussen uit diverse sectoren.;Ik heb al drie keer gemist dat ik een slot kon boeken door systeemfouten. Dit moet beter.;Het beleid is goed, maar er is meer behoefte aan culturele competentie bij de docenten.;Please consider reducing the sheer number of high-stakes exams in one grading period.;De updates via e-mail zijn altijd te laat en te vaag, wat echt frustrerend is.;We need a more standardized procedure so that everyone is treated fairly regarding extensions.
49;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Was de beoordeling gebaseerd op inhoud of meer op de presentatiekwaliteit, dat is onduidelijk.;Wij zouden graag meer industriebezoeken willen, want het zien van de operatie is echt onbetaalbaar voor de leercurve.;Kortom, meer connectiepunten met de arbeidsmarkt maken ons studeren completer.;Het zou nuttig zijn om na elke sessie een korte opsomming te krijgen van de actiepunten voor thuis.;Misschien meer gekoppeld leerwerk dat minder afhankelijk is van memorisatie en meer van toepassing.;I wish there were more casual, informal meetups that welcome students from all backgrounds.;Ik voelde me gehoord en gesteund door de begeleiders tijdens dit moeilijke jaar.
